SITEVISITID,ISLAND,SITE,REEF_ZONE,LATITUDE,LONGITUDE,DEPTH,DEPTH_BIN,DATE_,OBS_YEAR,ANALYSIS_YEAR
8688,Jarvis,JAR-00500,Forereef,-0.37905129,-160.015197,9.35,Mid,8/4/15,2015,2015
8751,Jarvis,JAR-00503,Forereef,-0.36352758,-159.9937159,4.9,Shallow,11/4/15,2015,2015
8789,Jarvis,JAR-00504,Forereef,-0.3799158,-160.0141628,6,Shallow,4/13/2015,2015,2015
8749,Jarvis,JAR-00507,Forereef,-0.37977817,-159.9833875,5.35,Shallow,11/4/15,2015,2015
8731,Jarvis,JAR-00510,Forereef,-0.37978747,-159.9804628,6,Shallow,10/4/15,2015,2015
8793,Jarvis,JAR-00511,Forereef,-0.36826411,-160.0074457,2.7,Shallow,4/13/2015,2015,2015
8730,Jarvis,JAR-00513,Forereef,-0.37677174,-159.9810238,5.75,Shallow,10/4/15,2015,2015
8722,Jarvis,JAR-00514,Forereef,-0.37527264,-159.9795826,5.05,Shallow,10/4/15,2015,2015
8792,Jarvis,JAR-00519,Forereef,-0.37108915,-160.0094813,2.55,Shallow,4/13/2015,2015,2015
8745,Jarvis,JAR-00521,Forereef,-0.36590268,-159.9835111,6,Shallow,11/4/15,2015,2015
8727,Jarvis,JAR-00523,Forereef,-0.37119828,-159.9826178,5.5,Shallow,10/4/15,2015,2015
8724,Jarvis,JAR-00526,Forereef,-0.3771615,-159.9835499,3,Shallow,10/4/15,2015,2015
8709,Jarvis,JAR-00528,Forereef,-0.37598653,-159.9776368,5.9,Shallow,9/4/15,2015,2015
8755,Jarvis,JAR-00530,Forereef,-0.37175719,-159.9807029,5.25,Shallow,11/4/15,2015,2015
8771,Jarvis,JAR-00532,Forereef,-0.3633374,-160.0047243,3.05,Shallow,12/4/15,2015,2015
8720,Jarvis,JAR-00538,Forereef,-0.36843376,-159.9832122,5.35,Shallow,10/4/15,2015,2015
8765,Jarvis,JAR-00539,Forereef,-0.36619747,-160.0065382,2.5,Shallow,12/4/15,2015,2015
8770,Jarvis,JAR-00540,Forereef,-0.36647483,-160.0068832,23.25,Deep,12/4/15,2015,2015
8687,Jarvis,JAR-00544,Forereef,-0.37125302,-160.0107054,20,Deep,8/4/15,2015,2015
8701,Jarvis,JAR-00545,Forereef,-0.38208269,-159.9881174,23.4,Deep,9/4/15,2015,2015
8747,Jarvis,JAR-00552,Forereef,-0.37758898,-159.9720099,11.45,Mid,11/4/15,2015,2015
8787,Jarvis,JAR-00557,Forereef,-0.38222057,-160.0026219,12,Mid,4/13/2015,2015,2015
8700,Jarvis,JAR-00562,Forereef,-0.38177968,-159.9914902,9.05,Mid,9/4/15,2015,2015
8753,Jarvis,JAR-00563,Forereef,-0.37237971,-159.9742129,10.7,Mid,11/4/15,2015,2015
8791,Jarvis,JAR-00570,Forereef,-0.37703971,-160.0147502,13.5,Mid,4/13/2015,2015,2015
8754,Jarvis,JAR-00571,Forereef,-0.37299134,-159.9764434,9.25,Mid,11/4/15,2015,2015
8767,Jarvis,JAR-00572,Forereef,-0.36221866,-159.995785,10.5,Mid,12/4/15,2015,2015
8703,Jarvis,JAR-00592,Forereef,-0.38183609,-160.0048884,5,Shallow,9/4/15,2015,2015
8768,Jarvis,JAR-00593,Forereef,-0.36268394,-159.9976077,4.25,Shallow,12/4/15,2015,2015
9589,Jarvis,JAR-00732,Forereef,-0.375813,-159.972047,19.55,Deep,5/18/2016,2016,2016
9615,Jarvis,JAR-00734,Forereef,-0.382476,-159.979708,22.8,Deep,5/21/2016,2016,2016
9622,Jarvis,JAR-00736,Forereef,-0.38202,-160.005707,19.9,Deep,5/22/2016,2016,2016
9566,Jarvis,JAR-00738,Forereef,-0.36317,-160.004883,21.8,Deep,5/16/2016,2016,2016
9597,Jarvis,JAR-00743,Forereef,-0.375892,-159.97198,21.15,Deep,5/19/2016,2016,2016
9607,Jarvis,JAR-00752,Forereef,-0.381831,-159.998748,13,Mid,5/20/2016,2016,2016
9579,Jarvis,JAR-00755,Forereef,-0.367099,-159.979691,15.65,Mid,5/17/2016,2016,2016
9590,Jarvis,JAR-00757,Forereef,-0.376817,-159.975374,9.15,Mid,5/18/2016,2016,2016
9568,Jarvis,JAR-00759,Forereef,-0.366654,-160.006872,12.1,Mid,5/16/2016,2016,2016
9582,Jarvis,JAR-00760,Forereef,-0.37989,-159.980219,7.65,Mid,5/17/2016,2016,2016
9616,Jarvis,JAR-00762,Forereef,-0.382435,-159.975657,15.15,Mid,5/21/2016,2016,2016
9567,Jarvis,JAR-00763,Forereef,-0.362026,-160.001013,10.85,Mid,5/16/2016,2016,2016
9606,Jarvis,JAR-00765,Forereef,-0.381987,-159.995818,12.85,Mid,5/20/2016,2016,2016
9626,Jarvis,JAR-00769,Forereef,-0.369011,-160.008139,10.2,Mid,5/22/2016,2016,2016
9617,Jarvis,JAR-00770,Forereef,-0.380204,-159.975998,8.55,Mid,5/21/2016,2016,2016
9624,Jarvis,JAR-00773,Forereef,-0.371247,-159.976039,9.1,Mid,5/22/2016,2016,2016
9598,Jarvis,JAR-00775,Forereef,-0.381892,-159.989628,11.45,Mid,5/19/2016,2016,2016
9620,Jarvis,JAR-00780,Forereef,-0.365249,-159.983699,9.3,Mid,5/21/2016,2016,2016
9599,Jarvis,JAR-00782,Forereef,-0.373487,-160.012563,10.4,Mid,5/19/2016,2016,2016
9621,Jarvis,JAR-00788,Forereef,-0.363532,-159.988807,16.15,Mid,5/21/2016,2016,2016
9591,Jarvis,JAR-00794,Forereef,-0.377436,-159.978487,5.95,Shallow,5/18/2016,2016,2016
9608,Jarvis,JAR-00800,Forereef,-0.381009,-160.008729,4.1,Shallow,5/20/2016,2016,2016
9581,Jarvis,JAR-00802,Forereef,-0.37261,-159.984259,5.5,Shallow,5/17/2016,2016,2016
9627,Jarvis,JAR-00803,Forereef,-0.374711,-160.012848,4.3,Shallow,5/22/2016,2016,2016
9609,Jarvis,JAR-00805,Forereef,-0.372703,-160.011614,3.35,Shallow,5/20/2016,2016,2016
9619,Jarvis,JAR-00807,Forereef,-0.367526,-159.983219,5.4,Shallow,5/21/2016,2016,2016
9618,Jarvis,JAR-00808,Forereef,-0.376079,-159.982681,5.65,Shallow,5/21/2016,2016,2016
9580,Jarvis,JAR-00819,Forereef,-0.370144,-159.981363,5.65,Shallow,5/17/2016,2016,2016
9623,Jarvis,JAR-00822,Forereef,-0.38104,-160.010789,4.25,Shallow,5/22/2016,2016,2016
9625,Jarvis,JAR-00823,Forereef,-0.362813,-159.996338,5.75,Shallow,5/22/2016,2016,2016
10409,Jarvis,JAR-00967,Forereef,-0.376731,-160.014481,22.15,Deep,3/4/17,2017,2017
10404,Jarvis,JAR-00979,Forereef,-0.371407,-160.010989,14.3,Mid,2/4/17,2017,2017
10412,Jarvis,JAR-00984,Forereef,-0.382208,-160.002526,12.05,Mid,3/4/17,2017,2017
10397,Jarvis,JAR-00986,Forereef,-0.371312,-160.010626,11.1,Mid,2/4/17,2017,2017
10437,Jarvis,JAR-00994,Forereef,-0.380581,-159.979716,8.2,Mid,4/4/17,2017,2017
10436,Jarvis,JAR-00996,Forereef,-0.382229,-159.991677,23.55,Deep,4/4/17,2017,2017
10452,Jarvis,JAR-01005,Forereef,-0.377912,-159.972767,8.2,Mid,5/4/17,2017,2017
10425,Jarvis,JAR-01010,Forereef,-0.370222,-159.976498,11.9,Mid,3/4/17,2017,2017
10440,Jarvis,JAR-01015,Forereef,-0.375851,-159.980505,6.9,Shallow,4/4/17,2017,2017
10456,Jarvis,JAR-01016,Forereef,-0.362637,-159.999864,5.8,Shallow,5/4/17,2017,2017
10398,Jarvis,JAR-01017,Forereef,-0.370127,-160.008941,9.65,Mid,2/4/17,2017,2017
10413,Jarvis,JAR-01018,Forereef,-0.381411,-159.99854,4.55,Shallow,3/4/17,2017,2017
10455,Jarvis,JAR-01025,Forereef,-0.364108,-159.987808,5.6,Shallow,5/4/17,2017,2017
10415,Jarvis,JAR-01031,Forereef,-0.379199,-159.982076,6,Shallow,3/4/17,2017,2017
10426,Jarvis,JAR-01035,Forereef,-0.368868,-159.981791,5.35,Shallow,3/4/17,2017,2017
10441,Jarvis,JAR-01036,Forereef,-0.373711,-159.982782,5.75,Shallow,4/4/17,2017,2017
10406,Jarvis,JAR-01047,Forereef,-0.363192,-160.004818,11.35,Mid,2/4/17,2017,2017
